participant,item,name,rank
21,482,Kobe Bryant,3
21,499,Larry Bird,10
21,539,Magic Johnson,6
21,578,Michael Jordan,4
21,597,Mitch Richmond,25
21,630,Oscar Robertson,8
21,723,Scottie Pippen,24
21,730,Shaquille O'Neal,11
21,768,Tim Duncan,9
21,784,Tracy McGrady,23
21,822,Wilt Chamberlain,5
22,11,Albert King,27
22,69,Bill Russell,5
22,102,Brian Scalabrine,10
22,145,Chris Webber,16
22,194,David Robinson,22
22,221,Derrick Rose,19
22,230,Dirk Nowitzki,11
22,234,Dominique Wilkins,25
22,250,Dwyane Wade,18
22,292,George Gervin,20
22,354,James Harden,24
22,385,Jerry West,4
22,423,John Stockton,8
22,450,Kareem Abdul-Jabbar,3
22,451,Karl Malone,9
22,469,Kevin Durant,23
22,482,Kobe Bryant,13
22,499,Larry Bird,2
22,505,Larry Nance,26
22,539,Magic Johnson,6
22,578,Michael Jordan,1
22,636,Patrick Ewing,28
22,693,Robert Parish,15
22,723,Scottie Pippen,17
22,730,Shaquille O'Neal,12
22,734,Shawn Kemp,14
22,753,Steve Nash,7
22,768,Tim Duncan,21
23,70,Bill Sharman,18
23,83,Bob Love,19
23,138,Chet Walker,16
23,156,Clyde Drexler,3
23,186,Dave Bing,20
23,224,Dick Barnett,10
23,234,Dominique Wilkins,4
23,256,Eddie Miles,15
23,260,Elgin Baylor,21
23,292,George Gervin,5
23,402,Joe Caldwell,12
23,443,Julius Erving,2
23,564,Maurice Lucas,17
23,607,Nate Archibald,7
23,630,Oscar Robertson,1
23,647,Pete Maravich,22
23,648,Phil Chenier,9
23,650,Phil Smith,13
23,662,Randy Smith,8
23,737,Sidney Wicks,14
23,805,Walt Frazier,6
23,809,Wayne Embry,11
24,69,Bill Russell,8
24,134,Charles Barkley,16
24,230,Dirk Nowitzki,19
24,319,Hakeem Olajuwon,6
24,333,Isiah Thomas,17
24,423,John Stockton,13
24,443,Julius Erving,14
24,450,Kareem Abdul-Jabbar,3
24,451,Karl Malone,15
24,482,Kobe Bryant,10
24,499,Larry Bird,5
24,513,LeBron James,11
24,539,Magic Johnson,4
24,578,Michael Jordan,1
24,603,Moses Malone,18
24,630,Oscar Robertson,9
24,636,Patrick Ewing,20
24,730,Shaquille O'Neal,12
24,768,Tim Duncan,7
24,822,Wilt Chamberlain,2
25,69,Bill Russell,3
25,134,Charles Barkley,17
25,194,David Robinson,20
25,234,Dominique Wilkins,21
25,260,Elgin Baylor,19
25,319,Hakeem Olajuwon,15
25,361,James Worthy,25
25,365,Jason Kidd,23
25,382,Jerry Lucas,14
25,385,Jerry West,5
25,443,Julius Erving,9
25,450,Kareem Abdul-Jabbar,11
25,451,Karl Malone,10
25,469,Kevin Durant,12
25,499,Larry Bird,7
25,539,Magic Johnson,6
25,578,Michael Jordan,4
25,603,Moses Malone,18
25,630,Oscar Robertson,8
25,647,Pete Maravich,24
25,658,Rajon Rondo,13
25,723,Scottie Pippen,22
25,730,Shaquille O'Neal,2
25,768,Tim Duncan,16
25,822,Wilt Chamberlain,1
26,5,Adrian Dantley,12
26,156,Clyde Drexler,6
26,161,Connie Hawkins,10
26,195,David Thompson,9
26,234,Dominique Wilkins,8
26,252,Earl Monroe,7
26,260,Elgin Baylor,3
