participant,itemA,itemB,recognizedA,recognizedB,aLarger
18,65,98,0,0,1
18,56,57,1,0,1
18,27,94,1,0,1
18,6,70,1,0,1
18,59,31,1,0,0
18,61,100,1,0,1
18,90,45,0,0,0
18,82,91,0,0,1
18,50,89,1,0,1
18,72,67,1,0,0
18,16,73,1,1,1
18,19,52,1,0,1
18,58,12,1,1,0
18,5,37,1,1,1
18,76,35,1,0,0
18,29,24,1,0,0
18,7,63,1,0,1
18,60,20,1,1,0
18,2,13,1,1,1
18,80,53,0,0,0
18,42,96,1,0,1
18,54,40,1,1,0
18,85,79,0,0,0
18,83,43,0,0,0
18,44,49,0,0,1
18,21,48,1,0,1
18,4,74,1,0,1
18,23,38,1,1,1
18,36,25,1,1,0
18,8,14,1,1,1
18,78,30,0,0,0
18,84,81,1,0,0
18,9,26,1,0,1
18,75,86,1,0,1
18,95,97,0,0,0
18,62,71,0,0,1
18,64,47,1,1,0
18,1,77,1,0,1
18,17,69,1,1,1
18,11,92,1,0,1
18,32,33,0,0,1
18,88,87,1,1,0
18,22,46,1,0,1
18,41,93,1,0,1
19,3,55,1,1,1
19,99,68,0,0,0
19,34,39,1,1,1
19,51,66,0,0,1
19,10,15,1,1,1
19,18,28,1,0,1
19,65,98,0,0,1
19,57,56,1,1,0
19,27,94,1,0,1
19,6,70,1,1,1
19,31,59,1,1,1
19,61,100,1,0,1
19,45,90,0,0,1
19,82,91,1,1,1
19,89,50,0,0,0
19,67,72,0,0,1
19,16,73,1,1,1
19,19,52,1,1,1
19,12,58,1,1,1
19,5,37,1,1,1
19,76,35,1,0,0
19,29,24,1,0,0
19,7,63,1,0,1
19,20,60,1,1,1
19,2,13,1,1,1
19,80,53,0,0,0
19,42,96,1,0,1
19,40,54,1,1,1
19,85,79,0,0,0
19,43,83,0,0,1
19,49,44,1,0,0
19,21,48,1,0,1
19,4,74,1,0,1
19,23,38,1,1,1
19,36,25,1,1,0
19,14,8,1,1,0
19,30,78,1,0,1
19,81,84,0,1,1
19,9,26,1,0,1
19,75,86,1,0,1
19,97,95,0,0,1
19,62,71,1,0,1
19,47,64,1,1,1
19,1,77,1,0,1
19,17,69,1,1,1
19,11,92,1,0,1
19,33,32,0,0,0
19,88,87,1,0,0
19,22,46,1,1,1
19,41,93,1,1,1
20,3,55,1,0,1
20,99,68,0,0,0
20,39,34,1,1,0
20,66,51,0,0,0
20,10,15,1,0,1
20,18,28,1,0,1
20,65,98,0,0,1
20,56,57,1,0,1
20,27,94,0,0,1
20,6,70,1,0,1
20,59,31,1,0,0
20,61,100,1,0,1
20,90,45,0,0,0
20,91,82,1,0,0
20,50,89,0,0,1
20,67,72,0,0,1
20,16,73,1,0,1
20,19,52,1,1,1
20,12,58,1,0,1
20,5,37,1,1,1
20,76,35,1,0,0
20,29,24,1,0,0
20,7,63,1,0,1
20,20,60,1,1,1
20,2,13,1,1,1
20,80,53,0,0,0
20,42,96,1,0,1
20,54,40,1,1,0
20,85,79,0,0,0
20,43,83,0,0,1
20,49,44,0,0,0
20,21,48,0,0,1
20,4,74,1,0,1
20,38,23,1,1,0
20,25,36,1,1,1
20,14,8,1,1,0
20,30,78,0,0,1
20,81,84,0,0,1
20,9,26,1,0,1
20,75,86,1,0,1
20,97,95,0,0,1
20,62,71,1,0,1
20,64,47,1,0,0
20,1,77,1,0,1
20,69,17,1,1,0
20,11,92,1,0,1
20,32,33,0,0,1
20,87,88,1,0,1
20,46,22,0,0,0
20,41,93,1,0,1
21,55,3,1,0,0
21,99,68,0,0,0
21,34,39,1,0,1
21,66,51,0,0,0
21,10,15,0,0,1
21,28,18,0,0,0
21,65,98,0,0,1
21,56,57,0,0,1
21,27,94,0,0,1
21,6,70,0,0,1
21,59,31,0,0,0
21,61,100,0,0,1
21,90,45,0,0,0
21,91,82,0,0,0
21,50,89,0,0,1
21,72,67,0,0,0
21,16,73,1,0,1
21,19,52,0,0,1
21,58,12,1,0,0
21,5,37,1,0,1
21,76,35,1,0,0
21,29,24,0,0,0
21,7,63,1,0,1
21,20,60,1,0,1
21,2,13,1,0,1
21,53,80,0,0,1
21,42,96,0,0,1
21,54,40,1,0,0
21,79,85,0,0,1
21,83,43,0,0,0
21,44,49,0,0,1
21,21,48,0,0,1
21,4,74,1,0,1
21,23,38,1,0,1
21,25,36,1,0,1
21,8,14,1,0,1
21,30,78,0,0,1
21,81,84,0,0,1
21,9,26,1,0,1
21,75,86,0,0,1
21,95,97,0,0,0
21,71,62,0,0,0
21,64,47,1,0,0
21,1,77,1,0,1
21,17,69,1,0,1
21,11,92,1,0,1
21,32,33,0,0,1
21,88,87,0,0,0
21,22,46,0,0,1
21,93,41,0,0,0
22,3,55,1,0,1
22,68,99,0,0,1
22,34,39,1,0,1
22,66,51,1,1,0
22,15,10,1,1,0
22,18,28,1,0,1
22,65,98,0,0,1
22,57,56,0,0,0
22,94,27,0,0,0
22,6,70,1,1,1
22,59,31,1,0,0
22,100,61,0,0,0
22,90,45,0,0,0
22,82,91,1,0,1
22,50,89,0,0,1
22,67,72,0,0,1
22,73,16,1,1,0
22,52,19,0,0,0
22,58,12,1,1,0
22,5,37,1,1,1
22,35,76,0,0,1
22,29,24,1,0,0
22,7,63,1,0,1
22,20,60,1,1,1
22,2,13,1,1,1
22,80,53,0,0,0
22,42,96,1,0,1
22,54,40,1,1,0
22,79,85,0,0,1
22,83,43,0,0,0
22,44,49,0,0,1
22,48,21,0,0,0
22,4,74,1,0,1
22,23,38,1,0,1
22,25,36,0,0,1
22,8,14,1,1,1
22,30,78,1,0,1
22,81,84,1,0,1
22,9,26,0,0,1
22,86,75,0,0,0
22,97,95,0,0,1
22,71,62,0,0,0
22,64,47,1,1,0
22,1,77,1,0,1
22,17,69,1,0,1
22,11,92,1,0,1
22,33,32,0,0,0
22,88,87,1,0,0
22,22,46,0,0,1
22,41,93,1,0,1
23,3,55,1,0,1
23,68,99,0,0,1
23,34,39,1,1,1
23,66,51,1,1,0
23,10,15,1,0,1
23,18,28,1,0,1
23,65,98,1,0,1
23,57,56,1,0,0
23,27,94,1,0,1
23,6,70,1,0,1
23,59,31,1,0,0
23,61,100,1,0,1
23,90,45,1,0,0
23,82,91,1,0,1
23,89,50,1,1,0
23,67,72,0,0,1
23,16,73,1,1,1
23,19,52,1,1,1
23,12,58,1,1,1
