participant,itemA,itemB,recognizedA,recognizedB,aLarger
15,52,89,1,0,1
15,65,28,0,1,0
15,20,3,0,0,0
15,74,24,1,1,0
15,18,82,1,1,1
15,98,25,1,0,0
15,62,38,1,1,0
15,16,69,0,1,1
15,79,63,1,1,0
15,22,8,0,1,0
15,14,67,1,1,1
15,1,58,0,1,1
15,36,85,1,0,1
15,86,70,1,1,0
15,95,91,0,1,0
15,31,42,1,0,1
15,49,26,1,0,0
15,33,97,0,1,1
15,59,48,0,1,0
15,57,35,0,1,0
15,13,55,1,0,1
15,88,32,0,1,0
15,76,93,0,1,1
15,27,46,0,1,1
15,60,39,0,1,0
15,94,90,1,1,0
15,64,34,0,1,0
15,41,40,0,1,0
15,29,78,0,1,1
15,23,9,1,0,0
15,99,75,0,1,0
15,5,80,0,1,1
15,30,54,0,1,1
15,77,61,0,1,0
15,53,4,1,1,0
15,84,6,1,0,0
15,37,73,1,0,1
16,100,21,0,1,0
16,96,47,1,0,0
16,44,12,0,1,0
16,87,71,0,1,0
16,56,92,0,1,1
16,66,2,1,0,0
16,7,50,1,0,1
16,81,19,0,1,0
16,11,51,1,0,1
16,10,83,1,0,1
16,45,43,0,1,0
16,17,15,1,0,0
16,68,72,1,0,1
16,52,89,0,1,1
16,65,28,0,1,0
16,20,3,0,1,0
16,74,24,1,0,0
16,18,82,1,0,1
16,25,98,0,1,1
16,38,62,0,1,1
16,16,69,1,0,1
16,79,63,0,1,0
16,22,8,0,1,0
16,14,67,0,1,1
16,1,58,0,1,1
16,85,36,1,0,0
16,70,86,0,1,1
16,95,91,1,0,0
16,42,31,1,0,0
16,49,26,1,0,0
16,33,97,0,1,1
16,59,48,0,1,0
16,57,35,1,0,0
16,13,55,1,0,1
16,32,88,1,0,1
16,76,93,0,1,1
16,27,46,0,1,1
16,39,60,0,1,1
16,94,90,1,0,0
16,64,34,1,0,0
16,41,40,1,0,0
16,29,78,0,1,1
16,23,9,0,1,0
16,99,75,1,0,0
16,5,80,1,0,1
16,30,54,1,0,1
16,77,61,1,0,0
16,4,53,0,1,1
16,84,6,1,0,0
16,37,73,1,1,1
17,100,21,1,0,0
17,47,96,1,1,1
17,12,44,1,1,1
17,87,71,1,1,0
17,92,56,0,0,0
17,66,2,1,0,0
17,7,50,1,1,1
17,19,81,1,0,1
17,11,51,1,1,1
17,10,83,1,1,1
17,43,45,1,1,1
17,15,17,1,0,0
17,72,68,1,0,0
17,89,52,1,1,0
17,28,65,1,0,1
17,3,20,1,1,1
17,74,24,1,0,0
17,18,82,1,1,1
17,25,98,1,0,1
17,38,62,1,1,1
17,69,16,1,0,0
17,79,63,1,0,0
17,8,22,1,1,1
17,14,67,1,1,1
17,1,58,1,0,1
17,36,85,1,1,1
17,86,70,1,1,0
17,91,95,1,1,1
17,31,42,1,0,1
17,49,26,1,0,0
17,33,97,1,0,1
17,48,59,1,1,1
17,35,57,1,1,1
17,55,13,1,0,0
17,32,88,1,1,1
17,93,76,1,1,0
17,27,46,1,1,1
17,39,60,1,1,1
17,90,94,1,1,0
17,34,64,1,0,1
17,40,41,0,0,0
17,78,29,1,0,0
17,9,23,1,0,1
17,99,75,1,1,0
17,5,80,1,0,1
17,54,30,0,0,0
17,77,61,1,1,0
17,4,53,1,1,1
17,6,84,1,0,1
17,37,73,1,0,1
18,100,21,1,0,0
18,96,47,1,1,0
18,12,44,1,0,1
