environment,item,criterion,cue,cueValue
Bridges,San Mateo-Hayward Bridge,36959.0,Guinness,0
Bridges,San Mateo-Hayward Bridge,36959.0,Long,0
Bridges,San Mateo-Hayward Bridge,36959.0,Viaduct,0
Bridges,San Mateo-Hayward Bridge,36959.0,Box-Girder,0
Bridges,San Mateo-Hayward Bridge,36959.0,Cable-Stayed,1
Bridges,San Mateo-Hayward Bridge,36959.0,Suspension,1
Bridges,San Mateo-Hayward Bridge,36959.0,Steel,0
Bridges,San Mateo-Hayward Bridge,36959.0,Concrete,1
Bridges,San Mateo-Hayward Bridge,36959.0,Rail,0
Bridges,San Mateo-Hayward Bridge,36959.0,Car,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Toll,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Capital,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Guinness,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Long,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Viaduct,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Box-Girder,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Cable-Stayed,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Suspension,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Steel,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Concrete,0
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Rail,1
Bridges,Third Orinoco Crossing (Mercosur Bridge),36400.0,Car,0
Bridges,Seven Mile Bridge,35719.0,Toll,0
Bridges,Seven Mile Bridge,35719.0,Capital,0
Bridges,Seven Mile Bridge,35719.0,Guinness,0
Bridges,Seven Mile Bridge,35719.0,Long,0
Bridges,Seven Mile Bridge,35719.0,Viaduct,0
Bridges,Seven Mile Bridge,35719.0,Box-Girder,0
Bridges,Seven Mile Bridge,35719.0,Cable-Stayed,1
Bridges,Seven Mile Bridge,35719.0,Suspension,1
Bridges,Seven Mile Bridge,35719.0,Steel,0
Bridges,Seven Mile Bridge,35719.0,Concrete,1
Bridges,Seven Mile Bridge,35719.0,Rail,0
Bridges,Seven Mile Bridge,35719.0,Car,0
Bridges,Third Mainland Bridge,34400.0,Toll,0
Bridges,Third Mainland Bridge,34400.0,Capital,0
Bridges,Third Mainland Bridge,34400.0,Guinness,0
Bridges,Third Mainland Bridge,34400.0,Long,1
Bridges,Third Mainland Bridge,34400.0,Viaduct,0
Bridges,Third Mainland Bridge,34400.0,Box-Girder,0
Bridges,Third Mainland Bridge,34400.0,Cable-Stayed,1
Bridges,Third Mainland Bridge,34400.0,Suspension,1
Bridges,Third Mainland Bridge,34400.0,Steel,0
Bridges,Third Mainland Bridge,34400.0,Concrete,1
Bridges,Third Mainland Bridge,34400.0,Rail,0
Bridges,Third Mainland Bridge,34400.0,Car,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Toll,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Capital,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Guinness,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Long,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Viaduct,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Box-Girder,1
Bridges,Wuhu Yangtze River Bridge,32870.0,Cable-Stayed,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Suspension,1
Bridges,Wuhu Yangtze River Bridge,32870.0,Steel,1
Bridges,Wuhu Yangtze River Bridge,32870.0,Concrete,0
Bridges,Wuhu Yangtze River Bridge,32870.0,Rail,1
