environment,item,criterion,cue,cueValue,year
United States,Plano,250357.0,National Capital,0,2005
United States,Lincoln,242009.0,State Capital,1,2005
United States,Lincoln,242009.0,Sport Team,0,2005
United States,Lincoln,242009.0,Airport,1,2005
United States,Lincoln,242009.0,Metro Station,0,2005
United States,Lincoln,242009.0,Rail Station,0,2005
United States,Lincoln,242009.0,Exposition Site,0,2005
United States,Lincoln,242009.0,National Capital,0,2005
United States,Henderson,231787.0,State Capital,0,2005
United States,Henderson,231787.0,Sport Team,0,2005
United States,Henderson,231787.0,Airport,0,2005
United States,Henderson,231787.0,Metro Station,0,2005
United States,Henderson,231787.0,Rail Station,0,2005
United States,Henderson,231787.0,Exposition Site,0,2005
United States,Henderson,231787.0,National Capital,0,2005
United States,Fort Wayne,249762.0,State Capital,0,2005
United States,Fort Wayne,249762.0,Sport Team,0,2005
United States,Fort Wayne,249762.0,Airport,1,2005
United States,Fort Wayne,249762.0,Metro Station,0,2005
United States,Fort Wayne,249762.0,Rail Station,0,2005
United States,Fort Wayne,249762.0,Exposition Site,0,2005
United States,Fort Wayne,249762.0,National Capital,0,2005
United States,New York,8015348.0,State Capital,0,2000
United States,New York,8015348.0,Sport Team,1,2000
United States,New York,8015348.0,Airport,1,2000
United States,New York,8015348.0,Metro Station,1,2000
United States,New York,8015348.0,Rail Station,1,2000
United States,New York,8015348.0,Exposition Site,1,2000
United States,New York,8015348.0,National Capital,0,2000
United States,Los Angeles,3703921.0,State Capital,0,2000
United States,Los Angeles,3703921.0,Sport Team,1,2000
United States,Los Angeles,3703921.0,Airport,1,2000
United States,Los Angeles,3703921.0,Metro Station,1,2000
United States,Los Angeles,3703921.0,Rail Station,1,2000
United States,Los Angeles,3703921.0,Exposition Site,0,2000
United States,Los Angeles,3703921.0,National Capital,0,2000
United States,Chicago,2895671.0,State Capital,0,2000
United States,Chicago,2895671.0,Sport Team,1,2000
United States,Chicago,2895671.0,Airport,1,2000
United States,Chicago,2895671.0,Metro Station,0,2000
United States,Chicago,2895671.0,Rail Station,1,2000
