study,subject,trial,gambleType,gain,loss,cert,tookGamble
study_1,103,165,gain_loss,14,-12.25,0,1
study_1,103,166,gain_loss,9,-13.5,0,0
study_1,103,167,gain_loss,12,-13.5,0,1
study_1,103,168,gain_loss,15,-9.375,0,1
study_1,103,169,gain_loss,9,-9.0,0,1
study_1,103,170,gain_loss,6,-8.25,0,1
study_1,103,171,gain_loss,9,-5.625,0,0
study_1,103,172,gain_loss,14,-14.0,0,0
study_1,103,173,gain_loss,2,-2.5,0,0
study_1,104,9,gain_loss,6,-6.0,0,0
study_1,104,10,gain_loss,16,-6.0,0,1
study_1,104,11,gain_loss,4,-2.0,0,1
study_1,104,12,gain_loss,12,-13.5,0,0
study_1,104,13,gain_loss,4,-3.0,0,0
study_1,104,14,gain_loss,12,-3.0,0,1
study_1,104,15,gain_loss,14,-24.5,0,0
study_1,104,16,gain_loss,15,-22.5,0,0
study_1,104,17,gain_loss,5,-6.25,0,0
study_1,104,18,gain_loss,15,-7.5,0,1
study_1,104,19,gain_loss,5,-4.375,0,0
study_1,104,20,gain_loss,16,-14.0,0,0
study_1,104,21,gain_loss,8,-12.0,0,0
study_1,104,22,gain_loss,8,-2.0,0,1
study_1,104,23,gain_loss,12,-19.5,0,0
study_1,104,24,gain_loss,9,-6.75,0,0
study_1,104,25,gain_loss,4,-5.0,0,0
study_1,104,26,gain_loss,6,-9.75,0,0
study_1,104,27,gain_loss,12,-6.0,0,1
study_1,104,28,gain_loss,5,-6.875,0,0
study_1,104,29,gain_loss,15,-9.375,0,0
study_1,104,30,gain_loss,8,-9.0,0,0
study_1,104,31,gain_loss,16,-32.0,0,0
study_1,104,32,gain_loss,2,-2.5,0,0
study_1,104,33,gain_loss,16,-12.0,0,0
study_1,104,34,gain_loss,8,-4.0,0,1
study_1,104,35,gain_loss,8,-13.0,0,0
study_1,104,36,gain_loss,5,-1.875,0,1
study_1,104,37,gain_loss,10,-2.5,0,1
study_1,104,38,gain_loss,4,-4.0,0,0
study_1,104,39,gain_loss,14,-8.75,0,0
study_1,104,40,gain_loss,12,-7.5,0,0
study_1,104,41,gain_loss,2,-4.0,0,0
study_1,104,42,gain_loss,15,-16.875,0,0
study_1,104,43,gain_loss,8,-7.0,0,1
study_1,104,44,gain_loss,4,-3.5,0,0
study_1,104,45,gain_loss,16,-18.0,0,0
study_1,104,46,gain_loss,9,-9.0,0,1
study_1,104,47,gain_loss,8,-6.0,0,1
study_1,104,48,gain_loss,9,-18.0,0,0
study_1,104,49,gain_loss,12,-12.0,0,1
study_1,104,50,gain_loss,12,-4.5,0,1
study_1,104,51,gain_loss,10,-3.75,0,1
study_1,104,52,gain_loss,14,-17.5,0,0
study_1,104,53,gain_loss,4,-7.0,0,0
study_1,104,54,gain_loss,10,-20.0,0,0
study_1,104,55,gain_loss,6,-3.75,0,1
study_1,104,56,gain_loss,14,-21.0,0,0
study_1,104,57,gain_loss,2,-2.75,0,0
study_1,104,58,gain_loss,12,-22.5,0,0
study_1,104,59,gain_loss,5,-2.5,0,1
study_1,104,60,gain_loss,15,-5.625,0,1
study_1,104,61,gain_loss,15,-11.25,0,1
study_1,104,62,gain_loss,2,-3.25,0,0
study_1,104,63,gain_loss,4,-7.5,0,1
study_1,104,64,gain_loss,5,-3.125,0,1
study_1,104,65,gain_loss,8,-11.0,0,0
study_1,104,66,gain_loss,10,-6.25,0,1
study_1,104,67,gain_loss,12,-10.5,0,1
