participant,horizon,environment,environmentCode,game,trial,choice,reward
1,16,neutral,A1-B1,31,14,1,0
1,16,neutral,A1-B1,31,15,2,1
1,16,neutral,A1-B1,31,16,2,1
1,16,neutral,A1-B1,32,1,1,0
1,16,neutral,A1-B1,32,2,1,0
1,16,neutral,A1-B1,32,3,2,0
1,16,neutral,A1-B1,32,4,2,1
1,16,neutral,A1-B1,32,5,2,1
1,16,neutral,A1-B1,32,6,2,1
1,16,neutral,A1-B1,32,7,2,1
1,16,neutral,A1-B1,32,8,2,1
1,16,neutral,A1-B1,32,9,2,1
1,16,neutral,A1-B1,32,10,2,0
1,16,neutral,A1-B1,32,11,1,0
1,16,neutral,A1-B1,32,12,2,1
1,16,neutral,A1-B1,32,13,2,1
1,16,neutral,A1-B1,32,14,2,1
1,16,neutral,A1-B1,32,15,2,1
1,16,neutral,A1-B1,32,16,2,1
1,16,neutral,A1-B1,33,1,2,1
1,16,neutral,A1-B1,33,2,2,1
1,16,neutral,A1-B1,33,3,2,0
1,16,neutral,A1-B1,33,4,1,1
1,16,neutral,A1-B1,33,5,1,0
1,16,neutral,A1-B1,33,6,2,0
1,16,neutral,A1-B1,33,7,1,1
1,16,neutral,A1-B1,33,8,1,0
1,16,neutral,A1-B1,33,9,2,1
1,16,neutral,A1-B1,33,10,2,0
1,16,neutral,A1-B1,33,11,1,1
1,16,neutral,A1-B1,33,12,1,1
1,16,neutral,A1-B1,33,13,1,0
1,16,neutral,A1-B1,33,14,2,1
1,16,neutral,A1-B1,33,15,2,1
1,16,neutral,A1-B1,33,16,2,0
1,16,neutral,A1-B1,34,1,2,0
1,16,neutral,A1-B1,34,2,1,1
1,16,neutral,A1-B1,34,3,1,0
1,16,neutral,A1-B1,34,4,2,0
1,16,neutral,A1-B1,34,5,1,1
1,16,neutral,A1-B1,34,6,1,1
1,16,neutral,A1-B1,34,7,1,1
1,16,neutral,A1-B1,34,8,1,1
1,16,neutral,A1-B1,34,9,1,1
1,16,neutral,A1-B1,34,10,1,1
1,16,neutral,A1-B1,34,11,1,1
1,16,neutral,A1-B1,34,12,1,1
1,16,neutral,A1-B1,34,13,1,0
1,16,neutral,A1-B1,34,14,2,1
1,16,neutral,A1-B1,34,15,2,0
1,16,neutral,A1-B1,34,16,1,1
1,16,neutral,A1-B1,35,1,2,1
1,16,neutral,A1-B1,35,2,2,0
1,16,neutral,A1-B1,35,3,1,0
1,16,neutral,A1-B1,35,4,2,0
1,16,neutral,A1-B1,35,5,1,0
1,16,neutral,A1-B1,35,6,2,0
1,16,neutral,A1-B1,35,7,1,0
1,16,neutral,A1-B1,35,8,2,0
1,16,neutral,A1-B1,35,9,2,0
1,16,neutral,A1-B1,35,10,2,1
1,16,neutral,A1-B1,35,11,2,0
1,16,neutral,A1-B1,35,12,2,1
1,16,neutral,A1-B1,35,13,2,0
1,16,neutral,A1-B1,35,14,1,0
1,16,neutral,A1-B1,35,15,2,0
1,16,neutral,A1-B1,35,16,2,0
1,16,neutral,A1-B1,36,1,2,0
1,16,neutral,A1-B1,36,2,1,0
1,16,neutral,A1-B1,36,3,2,0
1,16,neutral,A1-B1,36,4,2,0
1,16,neutral,A1-B1,36,5,2,0
1,16,neutral,A1-B1,36,6,2,0
1,16,neutral,A1-B1,36,7,2,0
1,16,neutral,A1-B1,36,8,1,0
1,16,neutral,A1-B1,36,9,2,1
1,16,neutral,A1-B1,36,10,2,0
1,16,neutral,A1-B1,36,11,1,0
1,16,neutral,A1-B1,36,12,2,1
1,16,neutral,A1-B1,36,13,2,0
1,16,neutral,A1-B1,36,14,2,0
1,16,neutral,A1-B1,36,15,1,0
1,16,neutral,A1-B1,36,16,2,0
1,16,neutral,A1-B1,37,1,2,0
1,16,neutral,A1-B1,37,2,2,0
1,16,neutral,A1-B1,37,3,2,0
1,16,neutral,A1-B1,37,4,2,0
1,16,neutral,A1-B1,37,5,1,0
1,16,neutral,A1-B1,37,6,1,0
1,16,neutral,A1-B1,37,7,1,0
1,16,neutral,A1-B1,37,8,2,0
1,16,neutral,A1-B1,37,9,2,1
1,16,neutral,A1-B1,37,10,2,1
1,16,neutral,A1-B1,37,11,2,0
1,16,neutral,A1-B1,37,12,2,0
1,16,neutral,A1-B1,37,13,1,0
1,16,neutral,A1-B1,37,14,2,0
1,16,neutral,A1-B1,37,15,2,0
1,16,neutral,A1-B1,37,16,2,0
1,16,neutral,A1-B1,38,1,2,0
1,16,neutral,A1-B1,38,2,2,0
1,16,neutral,A1-B1,38,3,2,0
1,16,neutral,A1-B1,38,4,1,0
1,16,neutral,A1-B1,38,5,1,0
1,16,neutral,A1-B1,38,6,2,1
1,16,neutral,A1-B1,38,7,2,1
1,16,neutral,A1-B1,38,8,2,1
1,16,neutral,A1-B1,38,9,2,1
1,16,neutral,A1-B1,38,10,2,1
1,16,neutral,A1-B1,38,11,2,0
1,16,neutral,A1-B1,38,12,1,0
1,16,neutral,A1-B1,38,13,2,1
1,16,neutral,A1-B1,38,14,2,0
1,16,neutral,A1-B1,38,15,2,1
1,16,neutral,A1-B1,38,16,2,0
1,16,neutral,A1-B1,39,1,2,0
1,16,neutral,A1-B1,39,2,2,0
1,16,neutral,A1-B1,39,3,1,1
1,16,neutral,A1-B1,39,4,1,0
1,16,neutral,A1-B1,39,5,2,1
1,16,neutral,A1-B1,39,6,2,1
1,16,neutral,A1-B1,39,7,2,1
1,16,neutral,A1-B1,39,8,2,1
1,16,neutral,A1-B1,39,9,2,0
1,16,neutral,A1-B1,39,10,1,0
1,16,neutral,A1-B1,39,11,2,0
1,16,neutral,A1-B1,39,12,1,0
1,16,neutral,A1-B1,39,13,2,0
1,16,neutral,A1-B1,39,14,2,0
1,16,neutral,A1-B1,39,15,2,0
1,16,neutral,A1-B1,39,16,2,0
1,16,neutral,A1-B1,40,1,1,1
1,16,neutral,A1-B1,40,2,1,0
1,16,neutral,A1-B1,40,3,2,1
1,16,neutral,A1-B1,40,4,2,1
1,16,neutral,A1-B1,40,5,2,1
1,16,neutral,A1-B1,40,6,2,1
