participant,nBlocks,pennMatrices,listSort,cardSort
555,8,19.0,104.06,130.33
556,8,20.0,112.89,123.18
557,8,21.0,108.06,124.7
558,8,15.0,117.39,109.82
559,8,9.0,96.99,96.12
560,8,22.0,80.79,107.42
561,8,20.0,130.38,122.29
562,8,20.0,121.89,109.23
563,8,21.0,117.39,126.42
564,8,6.0,96.99,99.24
565,8,18.0,126.18,113.36
566,8,21.0,126.18,115.62
567,8,10.0,108.06,124.54
568,8,8.0,88.68,108.56
569,8,15.0,88.68,102.9
570,8,21.0,108.06,113.99
571,8,14.0,117.39,109.98
572,8,20.0,108.06,110.57
573,8,18.0,93.9,93.8
574,8,21.0,126.18,114.31
575,8,13.0,117.39,122.01
576,8,17.0,117.39,143.94
577,8,,126.18,119.7
578,8,12.0,108.06,107.73
579,8,10.0,104.06,107.73
580,8,15.0,93.9,109.2
581,8,19.0,112.89,110.94
