participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
6,15,1,15,12,0.9109999999999978,-1
6,16,1,14,15,1.2909999999999968,1
6,17,1,11,13,6.067999999999998,1
6,18,-1,9,5,2.0230000000000032,-1
6,19,1,6,16,4.596000000000004,1
6,20,-1,12,14,2.0730000000000004,-1
6,21,1,8,12,1.401999999999994,1
6,22,-1,1,2,9.273000000000003,-1
6,23,1,11,15,1.411999999999999,1
6,24,1,7,15,2.724,1
6,25,1,2,13,3.4349999999999987,1
6,26,-1,11,10,1.2719999999999985,1
6,27,1,6,13,1.2719999999999985,1
6,28,-1,13,8,1.231999999999999,-1
6,29,-1,16,13,0.892000000000003,-1
6,30,-1,12,11,3.716000000000001,-1
6,31,1,6,9,3.925999999999995,1
6,32,1,4,16,1.5319999999999965,1
6,33,-1,14,13,0.9709999999999964,-1
6,34,-1,13,5,2.8740000000000023,-1
6,35,1,3,9,1.5620000000000047,1
6,36,1,5,8,1.852000000000004,1
6,37,1,6,12,1.2220000000000013,1
6,38,-1,10,15,4.0959999999999965,1
6,39,1,1,11,0.7109999999999994,1
6,40,-1,3,16,4.497,1
6,41,1,5,10,0.6910000000000007,1
6,42,-1,16,12,4.155999999999999,1
6,43,1,15,13,0.6910000000000025,-1
6,44,1,14,7,3.094999999999999,-1
6,45,-1,7,8,1.070999999999998,1
6,46,1,6,2,6.850000000000001,-1
6,47,-1,9,10,0.9919999999999972,1
6,48,-1,8,6,3.2049999999999983,-1
6,49,-1,8,16,4.415999999999997,1
6,50,-1,16,5,2.6540000000000035,-1
6,51,1,11,9,1.512,-1
6,52,1,5,14,2.2139999999999995,1
6,53,1,3,10,3.385,1
6,54,-1,4,2,4.886999999999999,-1
6,55,1,7,13,1.0919999999999987,1
6,56,1,3,13,1.3020000000000032,1
6,57,1,3,11,1.231999999999999,1
6,58,1,6,7,3.193999999999999,1
6,59,-1,7,5,2.7040000000000006,1
6,60,-1,9,8,1.2720000000000056,1
6,61,1,1,5,5.097000000000001,1
6,62,-1,11,2,3.996000000000002,-1
6,63,1,3,8,1.411999999999999,1
6,64,-1,4,1,7.670999999999999,1
6,65,1,6,4,3.535,1
6,66,1,3,12,3.2349999999999994,1
6,67,1,5,12,1.2119999999999995,1
6,68,1,2,14,3.605,1
6,69,-1,14,3,1.251999999999999,-1
6,70,1,10,16,2.8150000000000013,1
6,71,-1,8,11,3.285,-1
6,72,1,16,14,1.713000000000001,1
6,73,1,3,6,1.3220000000000027,-1
6,74,1,6,10,1.411999999999999,1
6,75,-1,1,3,2.4239999999999995,-1
6,76,-1,9,14,1.0009999999999977,1
6,77,-1,12,7,1.0120000000000005,-1
6,78,1,8,14,2.013000000000005,1
6,79,-1,8,4,3.014,-1
6,80,-1,15,8,3.5749999999999997,-1
6,81,1,2,8,9.814,1
6,82,-1,16,7,2.062999999999999,-1
6,83,1,11,7,1.0309999999999988,-1
