participant,trial,reportIndex,report
2,81,2,Decision: No justification
2,82,1,Encoding
2,82,2,Encoding
2,82,3,Encoding
2,82,4,Decision: No justification
2,83,1,Encoding
2,83,2,Encoding
2,83,3,Elaboration: Indicator based
2,83,4,Decision: No justification
2,84,1,Encoding
2,84,2,Decision: No justification
2,85,1,Encoding
2,85,2,Encoding
2,85,3,Decision: No justification
2,86,1,Encoding
2,86,2,Encoding
2,86,3,Encoding
2,86,4,Encoding
2,86,5,Encoding
2,86,6,Decision: No justification
2,87,1,Encoding
2,87,2,Encoding
2,87,3,Encoding
2,87,4,Decision: Single Indicator
2,88,1,Encoding
2,88,2,Encoding
2,88,3,Decision: No justification
2,89,1,Encoding
2,89,2,Encoding
2,89,3,Decision: No justification
2,90,1,Encoding
2,90,2,Encoding
2,90,3,Decision: No justification
2,91,1,Encoding
2,91,2,Encoding
2,91,3,Encoding
2,91,4,Encoding
2,91,5,Encoding
2,91,6,Decision: No justification
2,92,1,Encoding
2,92,2,Encoding
2,92,3,Encoding
2,92,4,Encoding
2,92,5,Decision: No justification
2,93,1,Encoding
2,93,2,Encoding
2,93,3,Encoding
2,93,4,Decision: No justification
2,94,1,Encoding
2,94,2,Encoding
2,94,3,Encoding
2,94,4,Decision: No justification
2,95,1,Encoding
2,95,2,Encoding
2,95,3,Encoding
2,95,4,Decision: No justification
2,96,1,Encoding
2,96,2,Decision: No justification
2,97,1,Encoding
2,97,2,Decision: No justification
2,98,1,Encoding
2,98,2,Encoding
2,98,3,Decision: No justification
2,99,1,Encoding
2,99,2,Decision: No justification
2,100,1,Encoding
2,100,2,Decision: No justification
2,101,1,Encoding
2,101,2,Encoding
2,101,3,Decision: No justification
2,102,1,Encoding
2,102,2,Encoding
2,102,3,Decision: No justification
2,103,1,Encoding
2,103,2,Encoding
2,103,3,Elaboration: Stock based
2,103,4,Decision: No justification
2,104,1,Encoding
2,104,2,Encoding
2,104,3,Decision: No justification
2,105,1,Search
2,105,2,Encoding
2,105,3,Encoding
2,105,4,Elaboration: Indicator based
2,105,5,Decision: No justification
2,106,1,Encoding
2,106,2,Encoding
2,106,3,Encoding
2,106,4,Decision: No justification
2,107,1,Encoding
2,107,2,Encoding
2,107,3,Elaboration: Indicator based
2,107,4,Decision: No justification
2,108,1,Encoding
2,108,2,Encoding
2,108,3,Decision: No justification
2,109,1,Encoding
2,109,2,Encoding
2,109,3,Decision: No justification
2,110,1,Encoding
2,110,2,Encoding
2,110,3,Decision: No justification
2,111,1,Encoding
2,111,2,Encoding
2,111,3,Encoding
2,111,4,Encoding
2,111,5,Decision: No justification
2,112,1,Encoding
2,112,2,Encoding
2,112,3,Decision: No justification
2,113,1,Encoding
2,113,2,Encoding
2,113,3,Decision: No justification
2,114,1,Encoding
2,114,2,Decision: No justification
2,115,1,Encoding
2,115,2,Decision: No justification
2,116,1,Encoding
2,116,2,Encoding
2,116,3,Decision: No justification
2,117,1,Encoding
2,117,2,Encoding
2,117,3,Decision: No justification
2,118,1,Encoding
2,118,2,Encoding
2,118,3,Decision: No justification
2,119,1,Encoding
2,119,2,Encoding
2,119,3,Decision: No justification
2,120,1,Encoding
2,120,2,Encoding
2,120,3,Elaboration: Indicator based
2,120,4,Decision: No justification
3,1,1,Encoding
3,1,2,Encoding
3,1,3,Metacognitive
3,1,4,Metacognitive
3,1,5,Decision: Single Indicator
3,2,1,Search
3,2,2,Search
3,2,3,Metacognitive
3,2,4,Metacognitive
3,2,5,Metacognitive
3,2,6,Elaboration: Indicator based
3,2,7,Decision: Single Indicator
3,3,1,Search
3,3,2,Metacognitive
3,3,3,Elaboration: Indicator based
3,3,4,Decision: No justification
3,4,1,Search
3,4,2,Search
3,4,3,Metacognitive
3,4,4,Metacognitive
3,4,5,Decision: Guess
3,5,1,Search
3,6,1,Search
3,6,2,Metacognitive
3,7,1,Search
3,7,2,Elaboration: Indicator based
3,7,3,Decision: Guess
3,8,1,Metacognitive
3,9,1,Decision: Guess
3,10,1,Metacognitive
3,10,2,Metacognitive
3,11,1,Decision: Guess
3,12,1,Search
3,12,2,Evaluation
3,12,3,Metacognitive
3,12,4,Metacognitive
3,12,5,Uncategorized
3,12,6,Decision: Single Indicator
3,13,1,Evaluation
3,13,2,Metacognitive
3,13,3,Decision: Guess
3,14,1,Metacognitive
3,14,2,Metacognitive
3,15,1,Search
3,15,2,Search
3,15,3,Evaluation
3,16,1,Metacognitive
3,17,1,Search
3,17,2,Metacognitive
3,17,3,Elaboration: Indicator based
3,18,1,Metacognitive
3,19,1,Metacognitive
3,20,1,Silent
3,21,1,Metacognitive
3,21,2,Metacognitive
3,22,1,Metacognitive
3,23,1,Metacognitive
3,24,1,Metacognitive
3,24,2,Metacognitive
3,25,1,Search
3,25,2,Metacognitive
3,25,3,Elaboration: Indicator based
3,25,4,Decision: No justification
3,26,1,Evaluation
3,26,2,Metacognitive
3,26,3,Metacognitive
3,26,4,Decision: No justification
3,27,1,Metacognitive
3,27,2,Metacognitive
3,28,1,Search
3,28,2,Evaluation
3,29,1,Encoding
3,29,2,Decision: Single Indicator
3,30,1,Metacognitive
3,31,1,Metacognitive
3,32,1,Silent
3,33,1,Metacognitive
3,33,2,Metacognitive
3,33,3,Metacognitive
3,34,1,Metacognitive
3,35,1,Metacognitive
3,35,2,Metacognitive
3,36,1,Metacognitive
3,37,1,Metacognitive
3,37,2,Decision: Single Indicator
3,38,1,Metacognitive
3,39,1,Search
3,39,2,Metacognitive
3,39,3,Metacognitive
3,40,1,Metacognitive
3,40,2,Metacognitive
3,41,1,Metacognitive
3,42,1,Decision: Single Indicator
3,43,1,Metacognitive
3,44,1,Silent
3,45,1,Search
3,45,2,Evaluation
3,46,1,Metacognitive
3,47,1,Evaluation
3,47,2,Metacognitive
3,47,3,Metacognitive
3,48,1,Evaluation
3,49,1,Metacognitive
3,50,1,Metacognitive
