participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,34,2,4,0,2,4,14.663000000000011
1,35,1,1,0,1,1,2.4279999999999973
1,35,2,1,1,1,2,4.596000000000004
1,36,1,1,0,1,1,2.8910000000000764
1,36,1,2,0,4,7,30.829000000000065
1,36,1,3,1,3,5,23.474000000000046
1,36,1,4,0,2,3,10.475000000000023
1,36,2,1,0,1,2,5.795000000000073
1,36,2,3,1,3,6,25.976999999999975
1,36,2,4,1,2,4,14.642000000000053
1,37,1,1,0,1,1,3.6019999999999754
1,37,2,1,1,1,2,5.689999999999941
1,38,1,1,0,1,1,4.100999999999999
1,38,1,2,1,3,5,21.06000000000006
1,38,1,3,1,4,8,45.523000000000025
1,38,1,4,1,2,4,12.854000000000042
1,38,2,1,0,1,2,6.022000000000048
1,38,2,2,1,3,6,22.693000000000097
1,38,2,3,0,4,7,40.55600000000004
1,38,2,4,1,2,3,10.453000000000088
1,39,1,1,0,1,1,2.8390000000000555
1,39,1,4,1,2,3,9.752000000000066
1,39,2,1,0,1,2,5.927000000000021
1,39,2,4,1,2,4,12.975000000000023
1,40,1,1,1,1,1,2.9440000000000737
1,40,1,3,0,3,5,16.807000000000016
1,40,1,4,1,2,3,9.656000000000063
1,40,2,1,1,1,2,6.942999999999984
1,40,2,3,1,3,6,18.375
1,40,2,4,0,2,4,11.407000000000039
1,41,1,1,0,1,1,3.747000000000071
1,41,1,4,1,2,3,11.835000000000036
1,41,2,1,0,1,2,6.29200000000003
1,41,2,4,0,2,4,13.364000000000033
1,42,1,1,1,1,1,2.6509999999999536
1,42,1,4,0,2,3,8.955000000000041
1,42,2,1,1,1,2,6.532000000000039
1,42,2,4,1,2,4,11.058999999999969
1,43,1,1,1,1,1,2.57000000000005
1,43,2,1,0,1,2,4.018000000000029
1,44,1,1,0,1,1,1.7829999999999018
1,44,1,4,0,2,3,9.878999999999905
1,44,2,1,0,1,2,3.5989999999999327
1,44,2,4,0,2,4,11.557999999999993
1,45,1,1,0,1,1,4.175999999999931
1,45,2,1,1,1,2,7.399000000000001
1,46,1,1,0,1,2,5.13799999999992
1,46,1,4,0,2,3,8.088999999999942
1,46,2,1,0,1,1,2.016999999999939
1,46,2,4,1,2,4,9.583999999999946
1,47,1,1,1,1,1,3.475999999999999
1,47,2,1,0,1,2,4.8840000000000146
1,48,1,1,0,1,1,3.5470000000000255
1,48,1,4,0,2,4,12.147000000000048
1,48,2,1,0,1,2,6.211999999999989
1,48,2,4,0,2,3,10.714000000000055
1,49,1,1,1,1,1,1.8799999999999955
1,49,1,4,1,2,4,8.519999999999982
1,49,2,1,1,1,2,3.975999999999999
1,49,2,4,0,2,3,7.0090000000000146
1,50,1,1,1,1,1,5.4360000000000355
1,50,2,1,0,1,2,7.580000000000041
1,51,1,1,1,1,1,4.592999999999961
1,51,1,4,1,2,3,16.170999999999935
1,51,2,1,0,1,2,8.865000000000009
1,51,2,4,1,2,4,17.33699999999999
1,52,1,1,1,1,1,4.307000000000016
1,52,1,3,0,3,5,16.219999999999914
1,52,1,4,0,2,3,9.795999999999935
1,52,2,1,0,1,2,6.2999999999999545
